+--------+-----------+--------------------------+---------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                      | Name                | Action                                                                 | Middleware   |
+--------+-----------+--------------------------+---------------------+------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | roomtype/delete/{id}     | roomtype.delete     | App\Http\Controllers\Backend\RoomTypeController@destroy                | web,auth     |
|        | GET|HEAD  | roomtype/edit/{id}       | roomtype.edit       | App\Http\Controllers\Backend\RoomTypeController@edit                   | web,auth     |
|        | GET|HEAD  | roomtype/show/{id}       | roomtype.show       | App\Http\Controllers\Backend\RoomTypeController@show                   | web,auth     |
|        | PUT       | roomtype/update/{id}     | roomtype.update     | App\Http\Controllers\Backend\RoomTypeController@update                 | web,auth     |
|        | GET|HEAD  | roomtype/{roomtype}      | roomtype.show       | App\Http\Controllers\Backend\RoomTypeController@show                   | web,auth     |
|        | PUT|PATCH | roomtype/{roomtype}      | roomtype.update     | App\Http\Controllers\Backend\RoomTypeController@update                 | web,auth     |
|        | DELETE    | roomtype/{roomtype}      | roomtype.destroy    | App\Http\Controllers\Backend\RoomTypeController@destroy                | web,auth     |
|        | GET|HEAD  | roomtype/{roomtype}/edit | roomtype.edit       | App\Http\Controllers\Backend\RoomTypeController@edit                   | web,auth     |
|        | POST      | user                     | user.store          | App\Http\Controllers\Backend\UserController@store                      | web,auth     |
|        | GET|HEAD  | user                     | user.index          | App\Http\Controllers\Backend\UserController@index                      | web,auth     |
|        | GET|HEAD  | user/create              | user.create         | App\Http\Controllers\Backend\UserController@create                     | web,auth     |
|        | POST      | user/create              | user.store          | App\Http\Controllers\Backend\UserController@store                      | web,auth     |
|        | GET|HEAD  | user/datatables          | user.datatables     | App\Http\Controllers\Backend\UserController@dataTables                 | web,auth     |
|        | GET|HEAD  | user/delete/{id}         | user.delete         | App\Http\Controllers\Backend\UserController@destroy                    | web,auth     |
|        | GET|HEAD  | user/edit/{id}           | user.edit           | App\Http\Controllers\Backend\UserController@edit                       | web,auth     |
|        | GET|HEAD  | user/show/{id}           | user.show           | App\Http\Controllers\Backend\UserController@show                       | web,auth     |
|        | PUT       | user/update/{id}         | user.update         | App\Http\Controllers\Backend\UserController@update                     | web,auth     |
|        | DELETE    | user/{user}              | user.destroy        | App\Http\Controllers\Backend\UserController@destroy                    | web,auth     |
|        | GET|HEAD  | user/{user}              | user.show           | App\Http\Controllers\Backend\UserController@show                       | web,auth     |
|        | PUT|PATCH | user/{user}              | user.update         | App\Http\Controllers\Backend\UserController@update                     | web,auth     |
|        | GET|HEAD  | user/{user}/edit         | user.edit           | App\Http\Controllers\Backend\UserController@edit                       | web,auth     |
|        | POST      | userrole                 | userrole.store      | App\Http\Controllers\Backend\UserRoleController@store                  | web,auth     |
|        | GET|HEAD  | userrole                 | userrole.index      | App\Http\Controllers\Backend\UserRoleController@index                  | web,auth     |
|        | POST      | userrole/create          | userrole.store      | App\Http\Controllers\Backend\UserRoleController@store                  | web,auth     |
|        | GET|HEAD  | userrole/create          | userrole.create     | App\Http\Controllers\Backend\UserRoleController@create                 | web,auth     |
|        | GET|HEAD  | userrole/datatables      | userrole.datatables | App\Http\Controllers\Backend\UserRoleController@dataTables             | web,auth     |
|        | GET|HEAD  | userrole/delete/{id}     | userrole.delete     | App\Http\Controllers\Backend\UserRoleController@destroy                | web,auth     |
|        | GET|HEAD  | userrole/edit/{id}       | userrole.edit       | App\Http\Controllers\Backend\UserRoleController@edit                   | web,auth     |
|        | GET|HEAD  | userrole/show/{id}       | userrole.show       | App\Http\Controllers\Backend\UserRoleController@show                   | web,auth     |
|        | PUT       | userrole/update/{id}     | userrole.update     | App\Http\Controllers\Backend\UserRoleController@update                 | web,auth     |
|        | PUT|PATCH | userrole/{userrole}      | userrole.update     | App\Http\Controllers\Backend\UserRoleController@update                 | web,auth     |
|        | DELETE    | userrole/{userrole}      | userrole.destroy    | App\Http\Controllers\Backend\UserRoleController@destroy                | web,auth     |
|        | GET|HEAD  | userrole/{userrole}      | userrole.show       | App\Http\Controllers\Backend\UserRoleController@show                   | web,auth     |
|        | GET|HEAD  | userrole/{userrole}/edit | userrole.edit       | App\Http\Controllers\Backend\UserRoleController@edit                   | web,auth     |
+--------+-----------+--------------------------+---------------------+------------------------------------------------------------------------+--------------+
